r,V
0.4600203578,298.4069149
0.4662511664,285.375707
0.4724683129,270.7924859
0.478687611,256.4536763
0.4849287827,244.5997172
0.4911602726,231.6459063
0.5005290225,214.6593051
0.5067289569,198.1207918
0.5160880251,180.0343388
0.5254708316,164.6445597
0.5379980459,146.0339797
0.5442053911,130.3373283
0.5588445036,111.3546997
0.5671770625,96.79863543
0.5786944537,83.61399138
0.5912477969,67.97165365
0.6038149815,53.90169674
0.6195376423,37.86830057
0.6384275647,21.21029715
0.6573379982,6.882350301
0.6738262381,-3.457850795
0.6952039513,-16.65176407
0.7299734513,-31.51741629
0.7865105899,-45.06867762
0.8535353832,-51.477691
0.9360396928,-50.05195709
1.016770202,-44.17250202
1.088444289,-37.31540084
1.169184599,-30.32251549
1.244022899,-24.43627121
1.327919415,-19.32399677
1.410447033,-15.25047132
1.491605692,-12.22248406
1.572759093,-9.791947212
1.655263761,-8.32547805
1.745475018,-6.709646288
1.831159827,-4.404709803
1.904940929,-2.765115809
1.977132666,-1.464673669
2.043755453,-2.052248855
2.116734865,-1.378265553
2.186538779,-1.015351468
2.256336151,-1.395547177
2.326141586,-0.8598168597
2.395941393,-0.9635065984
2.459397606,-0.8482957776
