r,V
0.5224321107,300.0132418
0.5297436586,289.6121734
0.5296323179,276.9638769
0.53689719,261.2604363
0.5451725844,240.2104935
0.5513513325,221.2652056
0.557548458,204.4075994
0.560597028,190.2996229
0.5699764459,174.5248956
0.5793265494,155.4200613
0.5855616251,142.8736029
0.5917923082,129.8281376
0.5990547897,113.8531286
0.6073850178,99.03228521
0.6157264815,85.48781309
0.6240194168,66.43050319
0.6344685235,52.03059072
0.644916674,37.5220509
0.6574582736,20.54563358
0.6700246872,6.388095879
0.6846879923,-9.846260885
0.7014888943,-23.5333064
0.7203982759,-37.98074333
0.7424758157,-52.95094937
0.7709104218,-66.6094802
0.8167827828,-81.67948761
0.884123609,-90.80418462
0.956314566,-89.5923108
1.030238256,-81.76661579
1.100832025,-71.77063695
1.17496475,-60.2221923
1.247677737,-49.76681031
1.318443448,-40.26191759
1.38593237,-32.56295448
1.460817705,-25.6243828
1.53207651,-20.17491097
1.602618823,-16.02444115
1.674830489,-12.46010638
1.747713425,-9.873417722
1.816850403,-8.040331269
1.886664928,-6.47202397
1.957001553,-5.664108089
2.030588212,-4.659305144
2.089744157,-3.905702936
2.170200408,-3.437247509
2.245741953,-3.477982763
2.3086784,-2.337395637
2.402277329,-2.052248855
2.462559768,-2.052248855
